season,pick,team
2016,1,CLE
2016,2,SF
2016,3,CHI
2016,4,JAX
2016,5,LA
2016,6,NYJ
2016,7,LAC
2016,8,CAR
2016,9,CIN
2016,10,BUF
2016,11,NO
2016,12,PHI
2016,13,ARI
2016,14,MIN
2016,15,IND
2016,16,BAL
2016,17,WAS
2016,18,TEN
2016,19,TB
2016,20,DEN
2016,21,DET
2016,22,MIA
2016,23,NYG
2016,24,LV
2016,25,HOU
2016,26,SEA
2016,27,KC
2016,28,DAL
2016,29,GB
2016,30,PIT
2016,31,ATL
2016,32,NE
2017,1,CLE
2017,2,NYG
2017,3,IND
2017,4,HOU
2017,5,DEN
2017,6,NYJ
2017,7,TB
2017,8,CHI
2017,9,SF
2017,10,LV
2017,11,MIA
2017,12,CIN
2017,13,WAS
2017,14,GB
2017,15,ARI
2017,16,BAL
2017,17,LAC
2017,18,SEA
2017,19,DAL
2017,20,DET
2017,21,BUF
2017,22,KC
2017,23,LA
2017,24,CAR
2017,25,TEN
2017,26,ATL
2017,27,NO
2017,28,PIT
2017,29,JAX
2017,30,MIN
2017,31,NE
2017,32,PHI
2018,1,ARI
2018,2,SF
2018,3,NYJ
2018,4,LV
2018,5,TB
2018,6,NYG
2018,7,JAX
2018,8,DET
2018,9,BUF
2018,10,DEN
2018,11,CIN
2018,12,GB
2018,13,MIA
2018,14,ATL
2018,15,WAS
2018,16,CAR
2018,17,CLE
2018,18,MIN
2018,19,TEN
2018,20,PIT
2018,21,SEA
2018,22,BAL
2018,23,HOU
2018,24,CHI
2018,25,PHI
2018,26,IND
2018,27,DAL
2018,28,LAC
2018,29,KC
2018,30,NO
2018,31,LA
2018,32,NE
2019,1,CIN
2019,2,WAS
2019,3,DET
2019,4,NYG
2019,5,MIA
2019,6,LAC
2019,7,CAR
2019,8,ARI
2019,9,JAX
2019,10,CLE
2019,11,NYJ
2019,12,LV
2019,13,IND
2019,14,TB
2019,15,DEN
2019,16,ATL
2019,17,DAL
2019,18,PIT
2019,19,CHI
2019,20,LA
2019,21,PHI
2019,22,BUF
2019,23,NE
2019,24,NO
2019,25,MIN
2019,26,HOU
2019,27,SEA
2019,28,BAL
2019,29,TEN
2019,30,GB
2019,31,SF
2019,32,KC
2020,1,JAX
2020,2,NYJ
2020,3,HOU
2020,4,ATL
2020,5,CIN
2020,6,PHI
2020,7,DET
2020,8,CAR
2020,9,DEN
2020,10,DAL
2020,11,NYG
2020,12,SF
2020,13,LAC
2020,14,MIN
2020,15,NE
2020,16,ARI
2020,17,LV
2020,18,MIA
2020,19,WAS
2020,20,CHI
2020,21,IND
2020,22,TEN
2020,23,SEA
2020,24,PIT
2020,25,LA
2020,26,CLE
2020,27,BAL
2020,28,NO
2020,29,GB
2020,30,BUF
2020,31,KC
2020,32,TB
